,Full Title,ISSN,Product ID,Change History
64,"Agriculture, Ecosystems & Environment",0167-8809,05086,Incorporating Agriculture and Environment and Agro-Ecosystems
65,Ain Shams Engineering Journal,2090-4479,08727,
66,Air Medical Journal,1067-991X,13163,Formerly known as Journal of Air Medical Transport
67,Alcohol,0741-8329,07500,
68,Alexandria Engineering Journal,1110-0168,08731,
69,Algal Research,2211-9264,08794,
70,Allergologia et Immunopathologia,0301-0546,15754,
71,Allergology International,1323-8930,18067,
72,Alter,1875-0672,15851,
73,American Heart Journal,0002-8703,13240,
74,The American Journal of Cardiology,0002-9149,07586,
75,The American Journal of Emergency Medicine,0735-6757,13226,
76,The American Journal of Geriatric Psychiatry,1064-7481,14116,
77,The American Journal of Human Genetics,0002-9297,07813,
78,American Journal of Infection Control,0196-6553,13170,
79,American Journal of Kidney Diseases,0272-6386,13229,
80,The American Journal of the Medical Sciences,0002-9629,18851,
81,The American Journal of Medicine,0002-9343,07587,
82,The American Journal of Medicine Supplements,1548-2766,07777,
83,American Journal of Obstetrics and Gynecology,0002-9378,13246,
84,American Journal of Obstetrics & Gynecology MFM,2589-9333,18938,
85,American Journal of Ophthalmology,0002-9394,07582,
86,American Journal of Ophthalmology Case Reports,2451-9936,18854,
87,American Journal of Orthodontics and Dentofacial Orthopedics,0889-5406,13027,Formerly known as American Journal of Orthodontics
88,American Journal of Otolaryngology,0196-0709,13046,
89,The American Journal of Pathology,0002-9440,14039,
90,American Journal of Preventive Medicine,0749-3797,07689,
91,The American Journal of Surgery,0002-9610,07588,
92,Ampersand,2215-0390,10185,
93,Anaerobe,1075-9964,12695,
94,Anaesthesia Critical Care & Pain Medicine,2352-5568,09011,Formerly known as Annales Françaises d'Anesthésie et de Réanimation
95,Anaesthesia & Intensive Care Medicine,1472-0299,04263,
96,Anais Brasileiros de Dermatologia,0365-0596,30273,
97,Anales de Cirugía Vascular,1130-2542,15704,
98,Anales de Pediatría,1695-4033,15711,
99,Anales de Pediatria Continuada,1696-2818,15755,
100,Anales de Pediatría (English Edition),2341-2879,16353,
101,Analytic Methods in Accident Research,2213-6657,10159,
102,Analytica Chimica Acta,0003-2670,05137,
103,Analytica Chimica Acta: X,2590-1346,18459,
104,Analytical Biochemistry,0003-2697,12002,
105,Anesthésie & Réanimation,2352-5800,16356,
106,Anesthesiology Clinics,1932-2275,13047,Formerly known as Anesthesiology Clinics of North America
107,Animal Behaviour,0003-3472,12602,Formerly known as The British Journal of Animal Behaviour; Incorporating Animal Behaviour Monographs
108,Animal Feed Science and Technology,0377-8401,05088,
109,Animal Nutrition,2405-6545,18174,
110,Animal Reproduction Science,0378-4320,05089,
111,Annales de Cardiologie et d'Angéiologie,0003-3928,09082,
112,Annales de Chirurgie Plastique Esthétique,0294-1260,09084,
113,Annales de Dermatologie et de Vénéréologie,0151-9638,15170,
114,Annales d'Endocrinologie,0003-4266,15180,
115,Annales françaises d’Oto-rhino-laryngologie et de Pathologie Cervico-faciale,1879-7261,15230,Formerly known as Annales d'Otolaryngologie et de Chirurgie Cervico-faciale
116,"Annales de l'Institut Henri Poincaré C, Analyse non linéaire",0294-1449,09006,
117,"Annales Médico-psychologiques, revue psychiatrique",0003-4487,09107,
118,Annales de Paléontologie,0753-3969,09008,
119,Annales de Pathologie,0242-6498,15130,
120,Annales Pharmaceutiques Françaises,0003-4509,15260,
121,Annals of Agricultural Sciences,0570-1783,08778,
122,"Annals of Allergy, Asthma & Immunology",1081-1206,14037,
123,Annals of Anatomy - Anatomischer Anzeiger,0940-9602,10030,
124,Annals of Diagnostic Pathology,1092-9134,13057,
125,Annals of Emergency Medicine,0196-0644,13239,Formerly known as Journal of the American College of Emergency Physicians
126,Annals of Epidemiology,1047-2797,07601,
127,Annals of Hepatology,1665-2681,30153,
128,Annals of Medicine and Surgery,2049-0801,17038,
129,Annals of Nuclear Energy,0306-4549,00217,Formerly known as Annals of Nuclear Science and Engineering
130,Annals of Oncology,0923-7534,30187,
131,Annals of Physical and Rehabilitation Medicine,1877-0657,09009,Formerly known as Annales de Réadaptation et de Médicine Physique
132,Annals of Physics,0003-4916,12006,
133,Annals of Pure and Applied Logic,0168-0072,05253,Formerly known as Annals of Mathematical Logic
134,The Annals of Thoracic Surgery,0003-4975,07610,
135,Annals of Tourism Research,0160-7383,00689,
136,Annals of Vascular Surgery,0890-5096,13421,
137,Annual Reviews in Control,1367-5788,00429,Formerly known as Annual Review in Automatic Programming
138,Ansiedad y Estrés,1134-7937,16432,
139,Anthropocene,2213-3054,10148,
140,L'Anthropologie,0003-5521,09087,
141,Antiviral Research,0166-3542,05001,
142,Appetite,0195-6663,12633,
143,Applied Acoustics,0003-682X,02003,
144,Applied Animal Behaviour Science,0168-1591,05090,Formerly known as Applied Animal Ethology
145,Applied Animal Science,2590-2865,18871,Formerly Known as The Professional Animal Scientist
146,Applied Catalysis A: General,0926-860X,05139,Formerly part of Applied Catalysis
147,Applied Catalysis B: Environmental,0926-3373,05140,Formerly part of Applied Catalysis
148,Applied Clay Science,0169-1317,05321,
149,Applied and Computational Harmonic Analysis,1063-5203,12003,
150,Applied Computing and Geosciences,2590-1974,30101,
151,Applied Energy,0306-2619,02004,
152,Applied Ergonomics,0003-6870,03001,
153,Applied Geochemistry,0883-2927,00768,
154,Applied Geography,0143-6228,03002,
155,Applied Materials Today,2352-9407,18144,
156,Applied Mathematical Modelling,0307-904X,07604,
157,Applied Mathematics and Computation,0096-3003,07612,
158,Applied Mathematics Letters,0893-9659,00843,
159,Applied Numerical Mathematics,0168-9274,05254,
160,Applied Nursing Research,0897-1897,13158,
161,Applied Ocean Research,0141-1187,02005,
162,Applied Radiation and Isotopes,0969-8043,00228,Formerly known as International Journal of Radiation Applications and Instrumentation. Part A. Applied Radiation and Isotopes
163,Applied Soft Computing,1568-4946,05434,
164,Applied Soil Ecology,0929-1393,05091,
165,Applied Surface Science,0169-4332,05191,Formerly known as Applications of Surface Science
166,Applied Thermal Engineering,1359-4311,00630,Formerly known as Heat Recovery Systems and CHP
167,Apunts. Medicina de l’Esport,1886-6581,15764,
168,Aquacultural Engineering,0144-8609,02006,
169,Aquaculture,0044-8486,05092,Incorporating Annual Review of Fish Diseases
170,Aquaculture and Fisheries,2468-550X,18365,
171,Aquaculture Reports,2352-5134,18081,
172,Aquatic Botany,0304-3770,05093,
173,Aquatic Toxicology,0166-445X,05094,
174,Arab Journal of Gastroenterology,1687-1979,05622,
175,Arabian Journal of Chemistry,1878-5352,08695,
176,Archaeological Research in Asia,2352-2267,18065,
177,Archives of Biochemistry and Biophysics,0003-9861,12007,
178,Archives of Cardiovascular Diseases,1875-2136,15568,
179,Archives of Cardiovascular Diseases Supplements,1878-6480,15863,
180,Archives of Gerontology and Geriatrics,0167-4943,08003,
181,Archives des Maladies du Cœur et des Vaisseaux - Pratique,1261-694X,15852,
182,Archives des Maladies Professionnelles et de l’Environnement,1775-8785,15360,
183,Archives of Medical Research,0188-4409,07608,
184,Archives of Oral Biology,0003-9969,00203,
185,Archives de Pédiatrie,0929-693X,09014,
186,Archives of Physical Medicine and Rehabilitation,0003-9993,13310,
187,Archives of Psychiatric Nursing,0883-9417,13191,
188,Archives of Rehabilitation Research and Clinical Translation,2590-1095,30062,
189,Archivos de Bronconeumología,0300-2896,15701,
190,Archivos de Bronconeumología (English Edition),1579-2129,15700,
191,Archivos de la Sociedad Española de Oftalmología,0365-6691,15765,
192,Archivos de la Sociedad Española de Oftalmología (English Edition),2173-5794,15797,
193,Array,2590-0056,30002,
194,Arthroplasty Today,2352-3441,18761,
195,Arthropod Structure & Development,1467-8039,00356,Formerly known as International Journal of Insect Morphology and Embryology
196,Arthroscopy: the Journal of Arthroscopic & Related Surgery,0749-8063,13049,
197,"Arthroscopy, Sports Medicine, and Rehabilitation",2666-061X,30180,
198,Arthroscopy Techniques,2212-6287,14121,
199,Artificial Intelligence,0004-3702,05255,
200,Artificial Intelligence in Agriculture,2589-7217,18439,
201,Artificial Intelligence in Medicine,0933-3657,05095,
202,The Arts in Psychotherapy,0197-4556,00833,Formerly known as Art Psychotherapy
203,"Asia-Pacific Journal of Sports Medicine, Arthroscopy, Rehabilitation and Technology",2214-6873,17054,
204,Asia Pacific Management Review,1029-3132,18163,
205,Asian Journal of Pharmaceutical Sciences,1818-0876,17033,
206,Asian Journal of Psychiatry,1876-2018,06077,
207,The Asian Journal of Shipping and Logistics,2092-5212,10107,
208,Asian Journal of Surgery,1015-9584,08586,
209,Asian Journal of Urology,2214-3882,18154,
210,Asian Nursing Research,1976-1317,08651,
211,Assessing Writing,1075-2935,07449,
212,Astronomy and Computing,2213-1337,18011,
213,Astroparticle Physics,0927-6505,05192,
214,Atención Primaria,0212-6567,15721,
215,Atención Primaria Práctica,2605-0730,16460,
216,Atherosclerosis,0021-9150,08004,Formerly known as Journal of Atherosclerosis Research
217,Atherosclerosis Supplements,1567-5688,08140,
218,Atherosclerosis: X,2590-1354,18453,
219,Atlas of the Oral and Maxillofacial Surgery Clinics,1061-3315,13032,
220,Atmospheric Environment,1352-2310,00246,Incorporating Atmospheric Environment. Part A. General Topics and Atmospheric Environment. Part B. Urban Atmosphere
221,Atmospheric Environment: X,2590-1621,18467,
222,Atmospheric Pollution Research,1309-1042,18277,
223,Atmospheric Research,0169-8095,05322,
224,Atomic Data and Nuclear Data Tables,0092-640X,12004,
225,Auris Nasus Larynx,0385-8146,08060,
226,Australasian Emergency Care,2588-994X,04082,Formerly known as Australasian Emergency Nursing Journal
227,Australasian Marketing Journal (AMJ),1441-3582,04120,Formerly known as Asia-Australia Marketing Journal
228,Australian Critical Care,1036-7314,04101,Formerly known as Confederation of Australian Critical Care Nurses Journal
229,Autoimmunity Reviews,1568-9972,05467,
230,Automatica,0005-1098,00270,
231,Automation in Construction,0926-5805,05256,
232,Autonomic Neuroscience,1566-0702,05062,Formerly known as Journal of the Autonomic Nervous System
233,Basic and Applied Ecology,1439-1791,10017,
234,Behavior Therapy,0005-7894,04241,
235,Behaviour Research and Therapy,0005-7967,00265,
236,Behavioural Brain Research,0166-4328,05014,
237,Behavioural Processes,0376-6357,05015,
238,Best Practice & Research Clinical Anaesthesiology,1521-6896,12666,Formerly known as Baillière's Clinical Anaesthesiology
239,Best Practice & Research Clinical Endocrinology & Metabolism,1521-690X,12667,Formerly known as Baillière's Clinical Endocrinology and Metabolism
240,Best Practice & Research Clinical Gastroenterology,1521-6918,12668,Formerly known as Baillière's Clinical Gastroenterology
241,Best Practice & Research Clinical Haematology,1521-6926,12669,Formerly known as Baillière's Clinical Haematology
242,Best Practice & Research Clinical Obstetrics & Gynaecology,1521-6934,12670,Formerly known as Baillière's Clinical Obstetrics and Gynaecology
243,Best Practice & Research Clinical Rheumatology,1521-6942,12671,Formerly known as Baillière's Clinical Rheumatology
244,Big Data Research,2214-5796,07502,
245,Bioactive Carbohydrates and Dietary Fibre,2212-6198,08810,
246,Bioactive Materials,2452-199X,18278,
247,Biocatalysis and Agricultural Biotechnology,1878-8181,12982,
248,Biochemical and Biophysical Research Communications,0006-291X,12009,
249,Biochemical Engineering Journal,1369-703X,06049,Formerly part of The Chemical Engineering Journal and the Biochemical Engineering Journal
250,Biochemical Pharmacology,0006-2952,07505,
251,Biochemical Systematics and Ecology,0305-1978,00364,
252,Biochemistry and Biophysics Reports,2405-5808,18156,
253,Biochimica et Biophysica Acta (BBA) - Bioenergetics,0005-2728,05002,Formerly part of Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis; Incorporating Biochimica et Biophysica Acta (BBA) - Reviews on Bioenergetics
254,Biochimica et Biophysica Acta (BBA) - Biomembranes,0005-2736,05003,Formerly part of Biochimica et Biophysica Acta (BBA) - Biophysics including Photosynthesis Incorporating Biochimica et Biophysica Acta (BBA) - Reviews on Biomembranes
255,Biochimica et Biophysica Acta (BBA) - Gene Regulatory Mechanisms,1874-9399,05005,Formerly known as Biochimica et Biophysica Acta (BBA) - Gene Structure and Expression
256,Biochimica et Biophysica Acta (BBA) - General Subjects,0304-4165,05006,Formerly known as Biochimica et Biophysica Acta
257,Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease,0925-4439,05008,
258,Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids,1388-1981,05007,Formerly known as Biochimica et Biophysica Acta (BBA) - Lipids and Lipid Metabolism
259,Biochimica et Biophysica Acta (BBA) - Molecular Cell Research,0167-4889,05009,
260,Biochimica et Biophysica Acta (BBA) - Proteins and Proteomics,1570-9639,05010,Formerly known as Biochimica et Biophysica Acta (BBA) - Protein Structure and Molecular Enzymology
261,Biochimica et Biophysica Acta (BBA) - Reviews on Cancer,0304-419X,05012,
262,Biochimie,0300-9084,09015,
263,Biocybernetics and Biomedical Engineering,0208-5216,11011,
264,Bioelectrochemistry,1567-5394,06000,Formerly known as Bioelectrochemistry and Bioenergetics
265,Bioethics Update,2395-938X,14422,
266,Biofilm,2590-2075,30094,
267,Biological Conservation,0006-3207,02008,
268,Biological Control,1049-9644,12012,
269,Biological Psychiatry,0006-3223,07615,
270,Biological Psychiatry: Cognitive Neuroscience and Neuroimaging,2451-9022,18845,
271,Biological Psychology,0301-0511,05016,
272,Biologicals,1045-1056,12680,Formerly known as Journal of Biological Standardization
273,Biology of Blood and Marrow Transplantation,1083-8791,13342,
274,Biomarkers in Neuropsychiatry,2666-1446,30236,
275,Biomass and Bioenergy,0961-9534,00986,
276,Biomaterials,0142-9612,03004,Incorporating Clinical Materials
277,Biomedical and Environmental Sciences,0895-3988,06074,
278,Biomedical Journal,2319-4170,18329,
279,Biomedical Signal Processing and Control,1746-8094,03099,
280,Biomedicine & Pharmacotherapy,0753-3322,09018,
281,Biometric Technology Today,0969-4765,02265,
282,Bioorganic Chemistry,0045-2068,12014,
283,Bioorganic & Medicinal Chemistry,0968-0896,00129,
284,Bioorganic & Medicinal Chemistry Letters,0960-894X,00972,
285,Biophysical Chemistry,0301-4622,05142,
286,Biophysical Journal,0006-3495,13437,
287,Bioprinting,2405-8866,18290,
288,Bioresource Technology,0960-8524,02009,Formerly known as Biological Wastes; Incorporating Energy in Agriculture and Biomass
289,Bioresource Technology Reports,2589-014X,18417,
290,Biosafety and Health,2590-0536,30040,
291,Biosensors and Bioelectronics,0956-5663,02062,Formerly known as Biosensors
292,Biosensors and Bioelectronics: X,2590-1370,18460,
293,Biosystems,0303-2647,08005,
294,Biosystems Engineering,1537-5110,12610,Formerly known as Journal of Agricultural Engineering Research
295,Biotechnology Advances,0734-9750,07533,
296,Biotechnology Reports,2215-017X,17066,
297,Biotribology,2352-5738,18087,
298,BJA Education,2058-5349,18408,"Formerly known as Continuing Education in Anaesthesia, Critical Care & Pain"
299,"Blood Cells, Molecules, and Diseases",1079-9796,12011,
300,Blood Reviews,0268-960X,12724,
301,Body Image,1740-1445,04057,
302,Boletín de la Sociedad Española de Cerámica y Vidrio,0366-3175,16885,
303,Bone,8756-3282,07617,Formerly known as Metabolic Bone Disease and Related Research; Incorporating Bone and Mineral
304,Bone Reports,2352-1872,18748,
305,Borsa Istanbul Review,2214-8450,08835,
306,Brachytherapy,1538-4721,07501,
307,"Brain, Behavior, and Immunity",0889-1591,12008,
308,"Brain, Behavior, & Immunity - Health",2666-3546,30266,
309,Brain and Cognition,0278-2626,12010,
310,Brain and Development,0387-7604,05017,
311,Brain Hemorrhages,2589-238X,18420,
312,Brain and Language,0093-934X,12015,
313,Brain Research,0006-8993,05018,"Incorporating Molecular Brain Research, Developmental Brain Research, Cognitive Brain Research, Brain Research Protocols and Brain Research Reviews"
314,Brain Research Bulletin,0361-9230,07507,
315,Brain Stimulation,1935-861X,07809,
316,Brazilian Journal of Anesthesiology,0034-7094,15900,
317,Brazilian Journal of Anesthesiology (English Edition),0104-0014,15996,
318,The Brazilian Journal of Infectious Diseases,1413-8670,15901,
319,Brazilian Journal of Otorhinolaryngology,1808-8694,15905,
320,Brazilian Journal of Physical Therapy,1413-3555,11506,
321,The Breast,0960-9776,12725,
322,The British Accounting Review,0890-8389,12663,
323,British Journal of Anaesthesia,0007-0912,18407,
324,British Journal of Oral and Maxillofacial Surgery,0266-4356,12726,Formerly known as British Journal of Oral Surgery
325,Building and Environment,0360-1323,00296,Formerly known as Building Science
326,Bulletin de l'Académie Nationale de Médecine,0001-4079,15400,
327,Bulletin du Cancer,0007-4551,16357,
328,Bulletin des Sciences Mathématiques,0007-4497,09019,
329,Burns,0305-4179,03006,
330,Burns Open,2468-9122,18384,
331,Business Horizons,0007-6813,07402,
332,Cahiers de Nutrition et de Diététique,0007-9960,15441,
333,Calphad,0364-5916,00254,
334,Canadian Journal of Cardiology,0828-282X,14046,
335,Canadian Journal of Diabetes,1499-2671,14119,
336,Canadian Journal of Ophthalmology,0008-4182,14106,
337,Cancer Cell,1535-6108,07595,
338,Cancer Epidemiology,1877-7821,03022,Formerly known as Cancer Detection and Prevention
339,Cancer Genetics,2210-7762,07618,Formerly known as Cancer Genetics and Cytogenetics
340,Cancer Letters,0304-3835,08006,
341,Cancer/Radiothérapie,1278-3218,09020,Formerly known as Bulletin du Cancer/Radiothérapie
342,Cancer Treatment and Research Communications,2468-2942,18010,Formerly known as Cancer Treatment Communications
343,Cancer Treatment Reviews,0305-7372,12645,Incorporating Evidence-based Oncology
344,Carbohydrate Polymers,0144-8617,02011,
345,Carbohydrate Research,0008-6215,02162,
346,Carbon,0008-6223,00258,
347,Carbon Resources Conversion,2588-9133,18419,
348,Cardiac Electrophysiology Clinics,1877-9182,12925,
349,Cardiology Clinics,0733-8651,13203,
350,Cardiovascular Pathology,1054-8807,07620,
351,Cardiovascular Revascularization Medicine,1553-8389,07641,Formerly known as Cardiovascular Radiation Medicine
352,CASE,2468-6441,18895,
353,Case Reports in Women's Health,2214-9112,17050,
354,Case Studies in Chemical and Environmental Engineering,2666-0164,30162,
355,Case Studies in Construction Materials,2214-5095,17032,
356,Case Studies in Thermal Engineering,2214-157X,17011,
357,Case Studies on Transport Policy,2213-624X,10163,
358,Catalysis Communications,1566-7367,05570,
359,Catalysis Today,0920-5861,05143,
360,CATENA,0341-8162,05323,
361,Cell,0092-8674,07590,
362,Cell Calcium,0143-4160,12711,
363,Cell Chemical Biology ,2451-9456,02215,Formerly known as Chemistry & Biology
364,Cell Host & Microbe,1931-3128,07703,
365,Cell Metabolism,1550-4131,13368,
366,Cell Regeneration,2045-9769,18386,
367,Cell Reports,2211-1247,14108,
368,Cell Reports Physical Science,2666-3864,30313,
369,Cell Stem Cell,1934-5909,07704,
370,The Cell Surface,2468-2330,18393,
371,Cell Systems,2405-4712,18800,
372,Cellular Immunology,0008-8749,12020,
373,Cellular and Molecular Gastroenterology and Hepatology,2352-345X,18792,
374,Cellular Signalling,0898-6568,07520,
375,Cement and Concrete Composites,0958-9465,02012,Formerly known as International Journal of Cement Composites and Lightweight Concrete
376,Cement and Concrete Research,0008-8846,00352,Incorporating Advanced Cement Based Materials
377,Central Bank Review,1303-0701,18264,
378,Ceramics International,0272-8842,02013,Formerly known as Ceramurgia International
379,"Chaos, Solitons & Fractals",0960-0779,00967,
380,"Chaos, Solitons & Fractals: X",2590-0544,18449,
381,Chem,2451-9294,18875,
382,Chemical Data Collections,2405-8300,18226,
383,Chemical Engineering Journal,1385-8947,06002,Formerly part of The Chemical Engineering Journal and the Biochemical Engineering Journal
384,Chemical Engineering and Processing - Process Intensification,0255-2701,06001,
385,Chemical Engineering Research and Design,0263-8762,08635,
386,Chemical Engineering Science,0009-2509,00215,
387,Chemical Engineering Science: X,2590-1400,18454,
388,Chemical Geology,0009-2541,05324,Incorporating Chemical Geology: Isotope Geoscience section
389,Chemical Physics,0301-0104,05144,
390,Chemical Physics Letters,0009-2614,05145,
391,Chemical Physics Letters: X,2590-1419,18457,
392,Chemico-Biological Interactions,0009-2797,08007,
393,Chemistry and Physics of Lipids,0009-3084,08008,
394,Chemometrics and Intelligent Laboratory Systems,0169-7439,05146,Incorporating Laboratory Automation & Information Management
395,Chemosphere,0045-6535,00362,Incorporating Chemosphere - Global Change Science
396,Chest,0012-3692,18838,Formerly known as Diseases of the Chest
397,Child Abuse & Neglect,0145-2134,00586,
398,Child and Adolescent Psychiatric Clinics of North America,1056-4993,13292,
399,Children and Youth Services Review,0190-7409,00556,
400,China Economic Review,1043-951X,07403,
401,China Geology,2096-5192,30011,
402,China Journal of Accounting Research,1755-3091,08769,
403,Chinese Astronomy and Astrophysics,0275-1062,00585,Formerly known as Chinese Astronomy
404,Chinese Chemical Letters,1001-8417,00997,
405,Chinese Herbal Medicines,1674-6384,10129,
406,Chinese Journal of Aeronautics,1000-9361,08595,
407,Chinese Journal of Analytical Chemistry,1872-2040,08572,
408,Chinese Journal of Catalysis,1872-2067,08575,
409,Chinese Journal of Chemical Engineering,1004-9541,08553,
410,Chinese Journal of Natural Medicines,1875-5364,08667,
411,Chinese Journal of Physics,0577-9073,18334,
412,Chinese Journal of Traumatology,1008-1275,08646,
413,Chinese Medical Sciences Journal,1001-9294,08670,
414,Chronic Diseases and Translational Medicine,2095-882X,18178,
415,CIRP Annals,0007-8506,04092,
416,CIRP Journal of Manufacturing Science and Technology,1755-5817,04113,
417,Cirugía Cardiovascular,1134-0096,15997,
418,Cirugía Española,0009-739X,15745,
419,Cirugía Española (English Edition),2173-5077,15792,
420,Cities,0264-2751,03008,
421,"City, Culture and Society",1877-9166,05635,
422,City and Environment Interactions,2590-2520,30105,
423,CJC Open,2589-790X,18930,
424,Climate Risk Management,2212-0963,10127,
425,Climate Services,2405-8807,18217,
426,Clinica Chimica Acta,0009-8981,05097,
427,Clínica e Investigación en Arteriosclerosis,0214-9168,15756,
428,Clínica e Investigación en arteriosclerosis (English edition),2529-9123,16439,
429,Clínica e Investigación en Ginecología y Obstetricia,0210-573X,15748,
430,Clinical Biochemistry,0009-9120,07519,
431,Clinical Biomechanics,0268-0033,03009,
432,Clinical Breast Cancer,1526-8209,14051,
433,Clinical Colorectal Cancer,1533-0028,14055,
434,Clinical eHealth,2588-9141,18414,
435,Clinical Epidemiology and Global Health,2213-3984,10150,
436,Clinical Gastroenterology and Hepatology,1542-3565,13344,
437,Clinical Genitourinary Cancer,1558-7673,14053,Formerly known as Clinical Prostate Cancer
438,Clinical Imaging,0899-7071,07696,Formerly known as Journal of Computed Tomography
439,Clinical Immunology,1521-6616,12021,Formerly known as Clinical Immunology and Immunopathology
440,Clinical Infection in Practice,2590-1702,30084,
441,Clinical Lung Cancer,1525-7304,14056,
442,Clinical Lymphoma Myeloma and Leukemia,2152-2650,14054,Formerly known as Clinical Lymphoma and Myeloma
443,Clinical Mass Spectrometry,2376-9998,18357,
444,Clinical Microbiology and Infection,1198-743X,18105,
445,Clinical Microbiology Newsletter,0196-4399,07624,
446,Clinical Neurology and Neurosurgery,0303-8467,05024,
447,Clinical Neurophysiology,1388-2457,08065,Formerly known as Electroencephalography and Clinical Neurophysiology; Incorporating Electroencephalography and Clinical Neurophysiology/Electromyography and Motor Control and Electroencephalography and Clinical Neurophysiology/Evoked Potentials Section
448,Clinical Neurophysiology Practice,2467-981X,18350,
449,Clinical Nutrition,0261-5614,12713,Incorporating Clinical Nutrition Supplements
450,Clinical Nutrition ESPEN,2405-4577,04097,Formerly known as e-SPEN Journal
451,Clinical Nutrition Experimental,2352-9393,18133,
452,Clinical Oncology,0936-6555,12914,
453,Clinical Parkinsonism & Related Disorders,2590-1125,30099,
454,Clinical Pediatric Emergency Medicine,1522-8401,13248,
455,Clinical Plasma Medicine,2212-8166,10503,
456,Clinical Psychology Review,0272-7358,00652,
457,Clinical Radiology,0009-9260,12821,Formerly known as Journal of the Faculty of Radiologists
458,Clinical Simulation in Nursing,1876-1399,13438,
459,Clinical Therapeutics,0149-2918,07567,
460,Clinical and Translational Radiation Oncology,2405-6308,08190,
461,Clinics in Chest Medicine,0272-5231,13293,
462,Clinics in Dermatology,0738-081X,07623,
463,Clinics in Geriatric Medicine,0749-0690,13298,
464,Clinics in Laboratory Medicine,0272-2712,13230,
465,Clinics in Liver Disease,1089-3261,13231,
466,Clinics in Perinatology,0095-5108,13258,
467,Clinics in Plastic Surgery,0094-1298,13105,
468,Clinics in Podiatric Medicine and Surgery,0891-8422,13036,
